Period,Number of years,Mean share of the highest-grossing film,Mean share of the top ten,Mean share of the top twenty,Mean share of international revenue,Serial-world share of top-twenty revenue,Comic-book superhero,Fantasy saga,Action and service hero,Animated and family hero,Other serial narrative world,Outside the serial-world dictionary
1977–1989,13,0.09095088054635826,0.40958909575014324,0.5817098413901255,,0.2964026739583467,0.04124442420607188,0.10198737927568954,0.10504648947427457,0.004181659211976219,0.04394272179033448,0.7035973260416533
1990–2000,11,0.09004883770068169,0.33711724570441026,0.49376110698491443,,0.2966658576513038,0.029191190196533556,0.10533929333766816,0.05148948511339322,0.05873365766054102,0.051912231343167865,0.7033341423486962
2001–2008,8,0.050884982535761694,0.3072197565371805,0.4503944231512726,0.5427628597891301,0.5960976361468241,0.09386911537947812,0.25640522379472314,0.10279371260555661,0.11113142838238434,0.031898155984681945,0.4039023638531759
2009–2015,7,0.05628465673641193,0.3114513307976517,0.4641803366726703,0.6368886364331046,0.7247533259943209,0.13371647617538557,0.30238870714837507,0.0730096222104681,0.1748622214656909,0.04077629899440124,0.2752466740056791
2016–2019,4,0.05340362040417446,0.3203094702740682,0.48456514737404704,0.6820787975886645,0.8195745329642578,0.3310570750138776,0.1946155728769463,0.06675444502967902,0.21998820968168936,0.007159230362065415,0.18042546703574228
2020–2021,2,0.0823614272861665,0.42506169352766154,0.5991019061493887,0.7870208437840169,0.741561792770771,0.2593745109773745,0.08702789595753152,0.28479465189715947,0.07775187171356147,0.03261286222514409,0.258438207229229
2022–2025,4,0.08146189741330566,0.40582814409357265,0.5804745406466798,0.6605045921943653,0.7882824291256132,0.17168842260618727,0.24423454105299994,0.09034101059241842,0.2649270015756522,0.01709145329835537,0.21171757087438683
