Period,Superhero and comics,Science-fiction and posthuman hero,Fantasy hero and quest,Animated and family hero,"Action hero, spy, and criminal protagonist","Historical, military, and biographical hero",Horror and survival hero,Comic and romantic hero,Other and unclassified
2006–2009 market formation,0.048831291424892655,0.08329592623765304,0.1848418798629402,0.13219960045193174,0.1187184196785789,0.07925842448318086,0.02010557099977666,0.05953752686948009,0.2732113599915658
2010–2013 market expansion,0.06940132530901741,0.14286210597756274,0.2528834757437607,0.2167715345790799,0.04988641093380295,0.05698467389588022,0.03807259594813275,0.009808745634285956,0.1633291319784774
2014–2016 crisis and restructuring,0.1502809550052382,0.12433931898847325,0.2692065233174151,0.21478090706220554,0.04274809347948446,0.02632183876480619,0.0,0.023842483987190327,0.1484798793951869
2017–2019 pre-pandemic peak,0.30123850011005265,0.07189898646663763,0.1898261880487118,0.20649023490495916,0.07451515519496488,0.030893347407475777,0.025573859503679748,0.014464539074557008,0.08509918928896139
2020–2021 pandemic,0.19610783303326618,0.10909701671205291,0.01857727648506593,0.15421938063469265,0.23080777562657478,0.03504831148995245,0.024926118844338183,0.014939400921049194,0.21627688625300773
2022–2025 full-scale war,0.06431698512950841,0.06872913841654524,0.05495370717392487,0.3024725644349031,0.17548126832368413,0.07013580930207844,0.07702482593365469,0.017798433773215435,0.16908726751248565
